"category","avg_rating","total_reviews"
"Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors","4.18","5"
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums","4.18","4"
"Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers","4.18","12"
"Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries","4.17","3"
"Electronics|Mobiles&Accessories|MobileAccessories|Décor","4.16","5"
"Electronics|Mobiles&Accessories|MobileAccessories|Stands","4.16","10"
"Electronics|Mobiles&Accessories|MobileAccessories|StylusPens","4.15","8"
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens","4.15","2"
"Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters","4.15","2"
"Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles","4.15","2"
"Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables","4.15","233"
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters","4.14","12"
"Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers","4.14","16"
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables","4.13","3"
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons","4.13","24"
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens","4.13","3"
"Electronics|HomeTheater,TV&Video|Projectors","4.13","3"
"Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks","4.13","12"
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards","4.12","5"
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans","4.11","11"
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens","4.1","1"
"Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CoolingPads","4.1","2"
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans","4.1","1"
"Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers","4.1","1"
"Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones","4.1","68"
"Electronics|Cameras&Photography|SecurityCameras|DomeCameras","4.1","5"
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans","4.1","3"
